,Question,Type
288,"does coenzyme q10 really help with blood pressure? | yahoo answers | i've heard that coenzyme q10 helps lower blood pressure.  is this really true?  what are the side effects, if any? thanks",P
289,"i just urinated and the urine was brown. what does this mean? | yahoo answers | i am very concerned about my health. and please, no ""go see your doctor"" stuff, it makes sense but i simply don't have one and cannot afford one. but can anyone tell me what it means to have brown urine and what i should be concerned about? this is the first time that has ever happened. it was not...",P
290,"i am peeing very dark brown urine and i have the urge to puke, and i do puke if i'm too active. dehydration? | yahoo answers | i haven't drank a lot of water for a few weeks, but are those signs of dehydration or what? what can i do to become better?",P
291,why am i peeing brown?!? | yahoo answers | i have been drinking water all day and even had a gatorade for lunch. so i don't think it's dehydration. it's a kinda reddish brown,P
292,"kidney  failure? | yahoo answers | my friend's back has been hurting really badly, and his urine is apparently 'thick like syrup' (wayyy to much information, but he doesn't have a yahoo  account), he doesn't pee that much unless he's drinking liquid, and, yes, he is going to the doctors. but, what are some things he should...",P
293,"my urine was reeally dark yellow this morning. is that normal? | yahoo answers | i was really shocked this morning when i went pee cuz it's never been so dark in colour before. i was drinking alcohol last night and smoked some marijuana if that could have anything to do with it. i also had sex with my boyfriend for the first time. wow, okay, i know that combo doesn't sound good but no...",P
294,i have silent stones..which are similar to gallstones..? | yahoo answers | so my question is why is my urine so yellow? any answer would help if you know..i drink tons of water so my urine is fairly clean and light..,P
295,why is my pee brown? is that blood should i be concerned? | yahoo answers | no-question,P
296,"please help i need a diet one that will work without much exercise, as i cant walk due to deteriorating immune | yahoo answers | i have a deteriorating immune system so need a diet that will help my disease which is my immune system is destroying my saliva glands. a moist diet would be a must. im on warfarin and not allowed vitamin k, citrus, dairy, wheat, soya, rice, animal fat, oils, dressings, sauces, gravys,. i have been to dr,...",P
297,"what are the main contents of the ptcb exam? | yahoo answers | so far i have studied everything except the drugs. i was wondering if there are lot of questions regarding drugs, such as brand/generic names, side effects, etc.",P
298,"what exactly do goji berries do for your health?? | yahoo answers | ok, i am wondering what are ''goji berries''  i have ordered some goji berry supplement tablets, but what will they actually do for me? will 1 tub of these tabelts work alot on my body and health....? anyone....?",P
299,can migraine pills cause...? | yahoo answers | i'm using excedrin migraine pills for these really bad headaches i've been having. i'm not sure if anyone can answer these but...is it safe to take two [the recommended amount] every 24 hours or should i look into getting a prescription?can it cause joint/muscle pain? (right now i have pain in my...,P
300,what do i do with my anxiety problem? | yahoo answers | i get really bad anxiety and i tried talking to my parents about it and they think it's a joke. i've given them a list with multiple examples of things that make me feel anxious and tried explaining myself. they just don't seem to think it's a real problem but it is effecting my life. i am 16 years...,P
301,"what time is proper to take my medications?  i take several. i do not know if i should take them in am or pm? | yahoo answers | i take the following medications:ranitidinegemfibrozilmetforminbenicarif you know the proper time of day to take these medications, i would love to hear it.  if you know of a website that gives this information in a easy to understand fashion, i would also appreciate that as well.i am also...",P
302,"i took the pill, diflucan, for a yeast infection and i'm also on birth control.? | yahoo answers | my period is almost two weeks late and i'm wondering if the diflucan can affect the birth control and/or the menstrual cycle. i'm so confused and really freaking out! help please!",P
303,what are the dangers of having low blood pressure? | yahoo answers | anything out there that can help with bringing it under control??,P
304,"achilles tendon question post op? | yahoo answers | i had a operation to repair a total rupture of achilles tendon on 10th jan, still in cast 23rd feb, can wiggle and move all toes but big toe will not bend is this normal. i also developed a dvt in leg now on warfarin.",P
305,"my friend has low blood pressure, what should he do? | yahoo answers | i think red grape juice might have caused it.",P
306,"do i have a cold sore? | yahoo answers | i have this thing on my lip that literally just started tingling and now it is swollen and bulbous looking, my lips are also dry. it looks red and some times it burns a little, but then stops.",P
307,"nose bleeds & amoxicillin? | yahoo answers | i am taking amoxicillin for laryngitis, pharyngitis, and a sinus infection. since i started taking the antibiotics i've been getting frequent nosebleeds which last between 2-5 minutes each at a steady flow. so far, i've had 6 bleeds in 20 hours. could this be caused by the sinus infection, or a side-effect...",P
308,"help, if i take aspirin to prevent first heart attack , while they said? | yahoo answers | while they said , patients with increased uric acids cannot take aspirin , so what should i take instead , noticing that i have blood pressure and diabettes melitenus , so what is the best drug plz, and doesnt cause side effects on my condition diseases???",P
309,"is it safe for obese people to take  green tea supplements? | yahoo answers | i'm having a huge argument with my mom right now. isn't it unsafe for obese people to take green tea supplements? doesn't it cause heart palpitations and stuff?if not, then are there any negative side effects to green tea supplements? would you recommend that obese people take them in order to lose...",P
310,"does the 2nd gardasil shot hurt?!? | yahoo answers | i am  sooooo nervous!!! cuz i already got the first one, and now i'm getting the 2nd one!!!! i'm really scared, cuz the 1st one hurt really really bad!!! is the 2nd one gonna hurt like that too? so please tell me if it does, if you had the 2nd shot..!!!",P
311,"how do i become familiar with this medication list? | yahoo answers | like a week before school my prof. emailed me this medication list to be familiar with and write up....is there an easier way to look up all these meds and not have to write them out? she wants me to do a drug sheet for each...medications listtype	medicationanalgesic/ urinary	phenazopyridine...",P
312,"what could/can't you do on antibiotic treatments? | yahoo answers | i'm on z-pak, and my infection isn't bad at all, i don't even really feel sick, i just have a slight balance problem and had hot flashes, doc says it's probably sinus infection, but i hardly feel it.1) is it okay to drink milk products, have yogurt on this med, and eat basically anything, or...",P
313,"coumadin and bruising? | yahoo answers | my husband is on coumadin has been for a while, but suddenly he has started getting more bruises than usual. i am worried about it but he said that it is a side effect of the coumadin. should i be worried or is this a side effect of coumadin?",P
314,"question about krill oil? | yahoo answers | i am currently taking metoprolol for blood pressure, which keeps it at good levels, bupropion for quitting smoking, and use to take crestor for cholesterol, which i stopped taking because it was making my muscles sore. was thinking about taking cvs's brand omega 3 krill oil. can i take this along with the...",P
315,"how to best memorize drug facts? | yahoo answers | is this supposed to be mostly rote memory or what? i can link and make sense of some info when getting down to memorizing drug facts, but some of these side effects bother me since they apply to all body systems and that seems like a overload!",P
316,what are some alternatives to amiodarone for a-fib? | yahoo answers | 200 mg. every other day 100 mg.,P
317,how much do i have to take 'ginkgo biloba' each day? | yahoo answers | how much do i have to take 'ginkgo biloba' each day? if you do know what ginkgo biloba is.,P
318,"what on earth caused all that!? | yahoo answers | the person with the infection is quite elderly but she has always been healthy, she has never been on any kind of medication for more than a week and generally bounces back from whatever comes her way. prior to this she had not needed medical intervention or to see her doctor for over 20 years and was in remarkably...",P
319,"how do you cure/treat this worst narcolepsy? | yahoo answers | narcolepsy (excessive daytime sleepiness) with hypnogogic hallucinationsthat or at least i sleep for short periods of time even at midday without knowing it (coz of hypnogogic hallucinations)plus, i sleeptalk everytime i sleep, so i do it at day too, and i seem stupid and idiotic when other people are...",P
320,"after i take ibuprofen i always get hot,it happens everytime i take it? | yahoo answers | is this all in my head or is it possible, i do take high blood pressure medicine.",P
321,"does anyone know what to do or take, for low sex drive in women?  herbal maybe?  or otherwise..? | yahoo answers | i am age 26 and this migraine prescripition has my sex drive at an all time low...i use to be soooo active..now it is not an option...i dont want to ruin my relationship but i also dont want to have migraines everyday. help!!!",P
322,jehovahs witnesses is the use of aspirin a shunning offense? | yahoo answers | should jws shun someone for taking  aspirin? by going on the line of reasoning that it is bad for your health.here are the side effects of aspirin.notice one can cause  bleeding in the brain. here is the link to medicinenet.com.http://www.medicinenet.com/script/main/mobileart.asp?articlekey=40177&page=11being...,P
323,what would happen if you use cocaine while you're on coumadin? | yahoo answers | no-question,P
324,"whats wrong with asprin? | yahoo answers | so i constantly see commercials about bayer asprin, and they say all this about its good for your heart, but not recommended for everyone, why not? isnt it just basically headache medicine? like advil? but asprin instead? whats so dangerous about it? lol thanks!",P
325,blood clots? | yahoo answers | lets say that you had a blood clot but dont have it anymore but you are taking coudmin. but you decide to stop taking it cause of personal reasons and you are a very young person what is the percentage of it coming back? also what would be the danger?,P
326,"do gingko biloba pills really work, or is it a placebo issue.? | yahoo answers | i wonder why the ancient chinese believed extract from this leaf sharpens the brain",P
327,"3yrs ago shihtzu mini ate rat poison w/in 30min vet saved her w/vita_k. she gags up stringy foam few/mo-todo? | yahoo answers | i need to know if the foam is due to 3yrs ago & if so or if not, what to do to aleviate the stringy foam she spits/coughts up. other than this, she is really a perfect friend. i want to help her. i've taken her to my vet 4 times for this same thing. they give me ""reglan syrup"" twice now & bought...",P
328,"can nifedipine be addicting? | yahoo answers | hey i'm 15 years old and i just recently started taking nifedipine to help the blood in my feet and toes. at first i was told by the doctor to take 1 pill, 3 times a day, so a total of 3 pills a day. unfortunately because the pills weren't working too well, he raised it to 2 and then to 3. now i""m...",P
329,has anyone experienced blackouts while using prozac? | yahoo answers | a very good friend on mine is experiencing total black-outs from using 80 mg of prozac a day. i have advised them to stop taking it and contact their physician. anyone else seeing this with this medication???,P
330,"can a medication that's used temporarily permanently affect you? | yahoo answers | i was once on lexapro, & i never had uncontrollably shaking legs until then. i've been off of it for quite a while, & i still shake uncontrollably.",P
331,"ramadan:i am always anxious for my dad, is this normal? | yahoo answers | my dad is always far away from us, well not all the time but sometimes because he travels a lot. ever since last year when i saw him suffering from sudden heart attack, i became so anxious and worried for his health ever since. i don't think he should be left alone anymore, i am scared. when he suffered a...",P
332,random nose bleeds with blood clots? | yahoo answers | when i was a kid to my teen years i would get bloody noses constantly from changes in temperature. going from outside to air conditioned stores etc. i havent had one in over 5 years. now all of a sudden it happens again? i was sitting in my room watching tv and it fel like my nose was running. within a few minutes...,P
333,i've been feeling sick everytime i eat. what could cause this? | yahoo answers | i've also been bruising easily and get tired pretty easily.  i started taking wellbutrin two weeks ago but i wouldn't think that it would be bothering me after that long.  i felt like i was getting a cold thursday and took some nyquil which made me feel even more sick than when i eat.  does anyone know what...,P
334,"do those pills/creams for breast enlargement really work?  which one is best? | yahoo answers | i would never have surgery, but wouldn't mind having slightly larger breasts with a bit more firmness.  has anybody tried anything non-surgical that really worked?  do tell!!!",P
335,i am a fib pt. since 2005 i am on inderal 40mg and aspirin 71mg whats the new treatment? | yahoo answers | i have irregular beats from time to time i am very afraid what shall i do what treatment can i take to help i am depressed i am 55years old female i was cured in ccu from the attack with cordaron and klexan for 24 hrs. after which every thing is ok now i have irregular rythm from time to time,P
336,is it safe to take cymbalta if i take fioricet? | yahoo answers | i take fioricet sometimes 3 to 4 pills a day for migraines. i was prescribed cymbalta for fibromyalgia.  is it safe to take these on the same day?  i took one dose of cymbalta at night and the next day was very dizzy while driving.  i had taken the fioricet in the morning.,P
337,what causes someone to become easily bruised (please read details)? | yahoo answers | no trauma involved--just look down at their arm or leg one day and see a fairly large bruise.  i've tried researching this and am (surprisingly) having very little luck.  just looking for a few common reasons/conditions that would cause easy bruising in an otherwise seemingly healthy individual.,P
338,"are the omega-3s from flax more easily digested by the oil or the ground up seeds? | yahoo answers | a friend of mine recommends the oil, but my sister swears the ground seed is best.  is there any evidence to prove one over the other?",P
339,"taking ciprofloxacin.? | yahoo answers | im taking cipro 500mg and it says not to take antacids, iron or vitamins, do you think its okay to take nght time sleep aid with this medication?",P
340,"what is causing my vertigo? | yahoo answers | ok, i'm pretty sure i pinched a nerve in my neck/shoulders from sleeping wrong.  this was 3 weeks ago & i was in severe pain for about 2 1/2 weeks, i took advil for the pain & applyed heat when i could, made an appt. with my doctor only to find the pain went away so i canceled the appt.  now the pains back (not...",P
341,can someone explain the mri/mra results of the brain? | yahoo answers | the report says: multiple mra scan images of the circle of willis were performed in both axial and sagittal planes.findings:no evidence of narrowing or obstruction of the vessels comprising the circle of willis is identified. no aneurysm is seen.thrombosis in the anterior inferior (ai) segment of the left...,P
342,"i had a weird discharge during sex? | yahoo answers | my husband and i were having sex earlier when he had looked down and said 'i think you're bleeding' and at first it did look like blood. but with a closer look it looked orange, and had a creamy kind of texture. i don't understand what this could be. he's the only person i've been with for 6...",P
